languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Mundari,Mundari,unr,Munda,Austro-Asiatic,23d N,23,84d40 E,84.6666666666667,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Kharia,Kharia,khr,Munda,Austro-Asiatic,22d30 N,22.5,84d20 E,84.3333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Juang,Juang,jun,Munda,Austro-Asiatic,21d20 N,21.3333333333333,86d E,86,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Gorum,Gorum,pcj,Munda,Austro-Asiatic,19d N,19,82d45 E,82.75,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Remo,Remo,bfw,Munda,Austro-Asiatic,18d N,18,82d E,82,,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Khasi,Khasi,kha,Khasian,Austro-Asiatic,25d30 N,25.5,92d E,92,Dem-Num-N-A,,,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Pnar,Pnar,pbv,Khasian,Austro-Asiatic,24d50 N,24.8333333333333,92d15 E,92.25,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Palaung,Palaung,pll,Palaungic,Austro-Asiatic,22d40 N,22.6666666666667,96d40 E,96.6666666666667,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Lawa (Eastern),Lawa (Eastern),lwl,Palaungic,Austro-Asiatic,18d57 N,18.95,98d46 E,98.7666666666667,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Parauk,Parauk,prk,Palaungic,Austro-Asiatic,23d15 N,23.25,99d30 E,99.5,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Plang,Plang,blr,Palaungic,Austro-Asiatic,21d40 N,21.6666666666667,100d20 E,100.333333333333,N-A-Num-Dem,,,,,,,,,
Mlabri (Minor),Mlabri (Minor),mra,Khmuic,Austro-Asiatic,18d30 N,18.5,101d E,101,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Khmu',Khmu',kjg,Khmuic,Austro-Asiatic,21d N,21,102d E,102,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Vietnamese,Vietnamese,vie,Vietic,Austro-Asiatic,12d N,12,108d E,108,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Thavung,Thavung,thm,Vietic,Austro-Asiatic,17d45 N,17.75,104d15 E,104.25,N-A-Num-Dem,,,,,,,,,
Pacoh,Pacoh,pac,Katuic,Austro-Asiatic,16d20 N,16.3333333333333,107d15 E,107.25,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Katu,Katu,ktv,Katuic,Austro-Asiatic,15d50 N,15.8333333333333,107d35 E,107.583333333333,Num-N-Dem-A,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Stieng,Stieng,sti,Bahnaric,Austro-Asiatic,11d50 N,11.8333333333333,106d45 E,106.75,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Mnong (Central),Mnong (Central),cmo,Bahnaric,Austro-Asiatic,12d40 N,12.6666666666667,107d E,107,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chrau,Chrau,crw,Bahnaric,Austro-Asiatic,10d45 N,10.75,107d30 E,107.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sre,Sre,kpm,Bahnaric,Austro-Asiatic,11d30 N,11.5,108d E,108,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Loven,Loven,lbo,Bahnaric,Austro-Asiatic,15d N,15,106d20 E,106.333333333333,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Brao,Brao,brb,Bahnaric,Austro-Asiatic,14d10 N,14.1666666666667,107d30 E,107.5,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bahnar,Bahnar,bdq,Bahnaric,Austro-Asiatic,13d50 N,13.8333333333333,108d20 E,108.333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Rengao,Rengao,ren,Bahnaric,Austro-Asiatic,14d35 N,14.5833333333333,107d50 E,107.833333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sedang,Sedang,sed,Bahnaric,Austro-Asiatic,14d50 N,14.8333333333333,108d E,108,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Khmer,Khmer,khm,Khmer,Austro-Asiatic,12d30 N,12.5,105d E,105,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Kasong,Kasong,cog,Pearic,Austro-Asiatic,12d45 N,12.75,102d7 E,102.116666666667,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chong,Chong,cog,Pearic,Austro-Asiatic,12d30 N,12.5,102d30 E,102.5,N-A-Num-Dem,,,,,,,,,
Mon,Mon,mnw,Monic,Austro-Asiatic,14d50 N,14.8333333333333,100d30 E,100.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Jahai,Jahai,jhi,Aslian,Austro-Asiatic,5d40 N,5.66666666666667,101d30 E,101.5,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Temiar,Temiar,tea,Aslian,Austro-Asiatic,5d N,5,101d30 E,101.5,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Semelai,Semelai,sza,Aslian,Austro-Asiatic,3d N,3,103d E,103,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nicobarese (Car),Nicobarese (Car),caq,Nicobarese,Austro-Asiatic,9d N,9,93d E,93,,,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Mandarin,Mandarin,cmn,Chinese,Sino-Tibetan,34d N,34,110d E,110,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Wu,Wu,wuu,Chinese,Sino-Tibetan,31d12 N,31.2,121d30 E,121.5,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Cantonese,Cantonese,yue,Chinese,Sino-Tibetan,23d N,23,113d E,113,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Karen (Pwo),Karen (Pwo),kjp,Karen,Sino-Tibetan,13d N,13,99d10 E,99.1666666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Kayah Li (Eastern),Kayah Li (Eastern),eky,Karen,Sino-Tibetan,19d N,19,97d30 E,97.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Karen (Bwe),Karen (Bwe),bwe,Karen,Sino-Tibetan,19d30 N,19.5,97d E,97,,,,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Karen (Sgaw),Karen (Sgaw),ksw,Karen,Sino-Tibetan,18d N,18,97d E,97,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tujia (Northern),Tujia (Northern),tji,Tujia,Sino-Tibetan,29d20 N,29.3333333333333,109d45 E,109.75,Dem-N-A-Num,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Dhimal,Dhimal,dhi,Dhimalish,Sino-Tibetan,26d40 N,26.6666666666667,87d45 E,87.75,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tamang (Eastern),Tamang (Eastern),taj,Bodic,Sino-Tibetan,27d30 N,27.5,85d40 E,85.6666666666667,Dem-A-N-Num,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Nar-Phu,Nar-Phu,npa,Bodic,Sino-Tibetan,28d40 N,28.6666666666667,84d15 E,84.25,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Gurung,Gurung,gvr,Bodic,Sino-Tibetan,28d20 N,28.3333333333333,84d20 E,84.3333333333333,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Thakali,Thakali,ths,Bodic,Sino-Tibetan,29d N,29,83d45 E,83.75,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Chantyal,Chantyal,chx,Bodic,Sino-Tibetan,28d35 N,28.5833333333333,83d25 E,83.4166666666667,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tshangla,Tshangla,tsj,Bodic,Sino-Tibetan,27d50 N,27.8333333333333,92d10 E,92.1666666666667,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Tibetan (Modern Literary),Tibetan (Modern Literary),bod,Bodic,Sino-Tibetan,29d50 N,29.8333333333333,91d30 E,91.5,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Tibetan (Standard Spoken),Tibetan (Standard Spoken),bod,Bodic,Sino-Tibetan,30d N,30,91d E,91,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Tibetan (Drokpa),Tibetan (Drokpa),bod,Bodic,Sino-Tibetan,32d15 N,32.25,81d15 E,81.25,N-A-Num-Dem,,,,,,,,,
Kyirong,Kyirong,kgy,Bodic,Sino-Tibetan,28d25 N,28.4166666666667,85d20 E,85.3333333333333,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Lhomi,Lhomi,lhm,Bodic,Sino-Tibetan,27d40 N,27.6666666666667,87d25 E,87.4166666666667,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Kurtokha,Kurt�p,xkz,Bodic,Sino-Tibetan,27d40 N,27.6666666666667,91d10 E,91.1666666666667,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Kham (Nangchen),Kham (Nangchen),khg,Bodic,Sino-Tibetan,32d30 N,32.5,96d30 E,96.5,N-A-Num-Dem,,,,,,,,,
Tibetan (Dongwang),Tibetan (Dongwang),khg,Bodic,Sino-Tibetan,28d30 N,28.5,99d40 E,99.6666666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Kham (Dege),Kham (Dege),khg,Bodic,Sino-Tibetan,31d50 N,31.8333333333333,98d35 E,98.5833333333333,N-A-Num-Dem,,,,,,,,,
Ladakhi,Ladakhi,lbj,Bodic,Sino-Tibetan,34d N,34,78d E,78,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Purki,Purki,prx,Bodic,Sino-Tibetan,34d40 N,34.6666666666667,76d E,76,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Sikkimese,Sikkimese,sip,Bodic,Sino-Tibetan,27d50 N,27.8333333333333,88d30 E,88.5,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Bunan,Bunan,bfu,Bodic,Sino-Tibetan,32d30 N,32.5,77d E,77,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Kinnauri,Kinnauri,kfk,Bodic,Sino-Tibetan,31d30 N,31.5,78d E,78,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Darma,Darma,drd,Bodic,Sino-Tibetan,29d50 N,29.8333333333333,80d30 E,80.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Chaudangsi,Chaudangsi,cdn,Bodic,Sino-Tibetan,30d N,30,80d15 E,80.25,Dem-Num-A-N,,,,,,,,,
Byansi,Byansi,bee,Bodic,Sino-Tibetan,30d10 N,30.1666666666667,80d30 E,80.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Newari (Kathmandu),Newari (Kathmandu),new,Mahakiranti,Sino-Tibetan,27d40 N,27.6666666666667,85d30 E,85.5,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
